label,inserted_mass_g,net_mass_g,screw_len_mm,nuts,washers
empty,0.0,-0.056121843132717945,,0,0
"M5x8, 1 nut, 0 washer",4.300000000000001,4.243878156867283,8.0,1,0
"M5x10, 1 nut, 0 washer",4.800000000000001,4.743878156867283,10.0,1,0
"M5x10, 1 nut, 1 washer",5.300000000000001,5.243878156867283,10.0,1,1
"M5x12, 1 nut, 0 washer",5.300000000000001,5.243878156867283,12.0,1,0
"M5x12, 1 nut, 1 washer",5.800000000000001,5.743878156867283,12.0,1,1
"M5x12, 1 nut, 2 washer",6.300000000000001,6.243878156867283,12.0,1,2
"M5x16, 1 nut, 0 washer",6.300000000000001,6.243878156867283,16.0,1,0
"M5x16, 1 nut, 1 washer",6.800000000000001,6.743878156867283,16.0,1,1
"M5x16, 1 nut, 2 washer",7.300000000000001,7.243878156867283,16.0,1,2
"M5x16, 1 nut, 3 washer",7.800000000000001,7.743878156867283,16.0,1,3
"M5x16, 1 nut, 4 washer",8.3,8.243878156867282,16.0,1,4
"M5x20, 1 nut, 0 washer",7.199999999999999,7.143878156867282,20.0,1,0
"M5x20, 1 nut, 1 washer",7.699999999999999,7.643878156867282,20.0,1,1
"M5x20, 1 nut, 2 washer",8.2,8.143878156867281,20.0,1,2
"M5x20, 1 nut, 3 washer",8.7,8.643878156867281,20.0,1,3
"M5x20, 1 nut, 4 washer",9.2,9.143878156867281,20.0,1,4
"M5x20, 1 nut, 5 washer",9.7,9.643878156867281,20.0,1,5
"M5x20, 1 nut, 6 washer",10.2,10.143878156867281,20.0,1,6
"M5x25, 1 nut, 0 washer",8.4,8.343878156867282,25.0,1,0
"M5x25, 1 nut, 1 washer",8.9,8.843878156867282,25.0,1,1
"M5x25, 1 nut, 2 washer",9.4,9.343878156867282,25.0,1,2
"M5x25, 1 nut, 3 washer",9.9,9.843878156867282,25.0,1,3
"M5x25, 1 nut, 4 washer",10.4,10.343878156867282,25.0,1,4
"M5x25, 1 nut, 5 washer",10.9,10.843878156867282,25.0,1,5
"M5x25, 1 nut, 6 washer",11.4,11.343878156867282,25.0,1,6
"M5x30, 1 nut, 0 washer",9.6,9.543878156867281,30.0,1,0
"M5x30, 1 nut, 1 washer",10.1,10.043878156867281,30.0,1,1
"M5x30, 1 nut, 2 washer",10.6,10.543878156867281,30.0,1,2
"M5x30, 1 nut, 3 washer",11.1,11.043878156867281,30.0,1,3
"M5x30, 1 nut, 4 washer",11.6,11.543878156867281,30.0,1,4
"M5x30, 1 nut, 5 washer",12.1,12.043878156867281,30.0,1,5
"M5x30, 1 nut, 6 washer",12.6,12.543878156867281,30.0,1,6
"M5x35, 1 nut, 0 washer",10.799999999999999,10.74387815686728,35.0,1,0
"M5x35, 1 nut, 1 washer",11.299999999999999,11.24387815686728,35.0,1,1
"M5x35, 1 nut, 2 washer",11.799999999999999,11.74387815686728,35.0,1,2
"M5x35, 1 nut, 3 washer",12.299999999999999,12.24387815686728,35.0,1,3
"M5x35, 1 nut, 4 washer",12.799999999999999,12.74387815686728,35.0,1,4
"M5x35, 1 nut, 5 washer",13.299999999999999,13.24387815686728,35.0,1,5
"M5x35, 1 nut, 6 washer",13.799999999999999,13.74387815686728,35.0,1,6
